author,birth,death
Abbé Vertot,1655,1735
Abdallah Naaman,1947,
Abdoulaye Y. Dabo,1942,
Abel Bonnard,1883,1968
Abel Dufresne,1788,1872
Abraham de Vermeil,1555,1620
Achille Chavée,1906,1969
Adam de Ross,xiie,xiiie siècles
Adam de la Halle,1240,1287
Adam de la Halle,1250,1285
Adenet le Roi,1240,1300
Adolphe de Chesnel,1791,1862
Adrien Gygax,1989,
Adrien Thério,1925,2003
Adrienne Durand-Tullou,1914,2000
Agnès Gueuret,1936,
Agnès Ruiz,1968,
Agnès de Bragelongne,XIIesiècle-XIIIe siècle,
Agnès de Navarre-Champagne,XIVe siècle,
Ahmad Kamyabi Mask,1944,
Ahmadou Kourouma,1927,2003
Aimé Césaire,1918,2008
Alain,1868,1951
Alain Beaulieu,1962,
Alain Berenboom,1947,
Alain Berson,1968,
Alain Blottière,1954,
Alain Bosquet,1919,1998
Alain Breton,1956,
Alain Chartier,1385,1449
Alain Decaux,1925,
Alain Demouzon,1945,
Alain Emery,1965,
Alain Georges Leduc,1951,
Alain Grandbois,1900,1975
Alain Guiraudie,1964,
Alain Mabanckou,1966,
Alain Marc,1959,
Alain Pacadis,1949,1986
Alain Robbe-Grillet,1922,2008
Alain Stanké,1934,
Alain Wegscheider,1969,
Alain de Lille,1115,1202
Alain-Fournier,1886,1914
Alan Seeger,1888,1916
Albert Cohen,1895,1981
Albert Cossery,1913,2008
Albert Jacquard,1925,2013
Albert Laberge,1871,1960
Albert Lozeau,1878,1924
Albert Memmi,1920,
Albert Samain,1858,1900
Albert-Paul Granier,1888,1917
Albertine Sarrazin,1937,1967
Albéric de Pisançon,1120,
Alexandre Arnoux,1884,1973
Alexandre Dumas,1802,1870
Alexandre Dumas (fils),1824,1895
Alexandre Jardin,1965,
Alexandre Karvovski,1933,2005
Alexandre Najjar,1967,
Alexandre Papilian,1947,
Alexandre Pouchkine,1799,1837
Alexandre de Bernay,1158,
Alexandrine Guérin de Tencin,1682,1749
Alexis Aubenque,,
Alexis Carrel,1873,1944
Alexis de Tocqueville,1805,1859
Alfred Capus,1857,1922
Alfred Jarry,1873,1907
Alfred de Musset,1810,1857
Alfred de Vigny,1797,1863
Ali Zamir,1987,
Alice Lemieux-Lévesque,1905,1983
Aline Duret,,
Alioune Badara Coulibaly,1945,
Alix André,1909,2000
Aloysius Bertrand,1807,1841
Alpha Mandé Diarra,1954,
Alphonse Allais,1854,1905
Alphonse Aulard,1849,1928
Alphonse Beauregard,1881,1924
Alphonse Boudard,1925,2000
Alphonse Daudet,1840,1897
Alphonse Karr,1808,1890
Alphonse Toussenel,1803,1885
Alphonse de Lamartine,1790,1869
Amadou Hampâté Bâ,1900,1991
Ambroise Yxemerry,1917,2013
Amin Maalouf,1949,
Amédée Achard,1814,1875
Amédée Pichot,1795,1877
Amélie Nothomb,1967,
Anatole France,1844,1924
Andreï Makine,1957,
André Baillon,1875,1932
André Belleau,1930,1986
André Birabeau,1890,1974
André Breton,1896,1966
André Chénier,1762,1794
André Comte-Sponville,1952,
André Dhôtel,1900,1991
André Frossard,1915,1995
André Gide,1869,1951
André Giroux,1916,1977
André Hardellet,1911,1974
André Langevin,1927,2009
André Laurendeau,1912,1968
André Major,1942,
André Malraux,1901,1976
André Maurois,1885,1967
André Pieyre de Mandiargues,1909,1991
André Pratte,,
André Rollin,xxe siècle,
André de Richaud,1907,1968
André-Joseph Dubois,1946,
Andrée Brunin,1937,1993
Andrée Chédid,1920,
Andrée Ferretti,1935,
Andrée-Anne Gratton,1956,
Angèle Koster,1946,
Ann Scott,1965,
Anna Gavalda,1970,
Anna de Noailles,1876,1933
Anne Calife,1966,
Anne Dutertre,,
Anne Godard,1971,
Anne Hébert,1916,2000
Anne Robillard,1955,
Anne Wiazemsky,1947,2017
Anne-Marie Simond,1941,
Annette Mbaye d'Erneville,1926,
Annick Demouzon,1948,
Annie Ernaux,1940,
Annie Lulu,1987,
Annie Pietri,1956,
Antoine Arnauld,1612,1694
Antoine Bauderon de Sénecé,1643,1737
Antoine Bello,1970,
Antoine Blondin,1922,1991
Antoine Buéno,1978,
Antoine François Prévost,Abbé Prévost,1697
Antoine Furetière,1619,1688
Antoine Gérin-Lajoie,1824,1882
Antoine Le Blanc de Guillet,1730,1799
Antoine Volodine,1950,
Antoine de Caunes,1953,
Antoine de La Sale,xve siècle,1462
Antoine de Rivarol,1753,1801
Antoine de Saint-Exupéry,1900,1944
Antoine-Roger Bolamba,1913,
Antoinette Legroing de La Maisonneuve,1764,1837
Antonin Artaud,1896,1948
Antonine Maillet,1929,
Ariane Fornia,1989,
Ariane Le Fort,1960,
