author,birth_death
Aaron Ben-Ze'ev,(born 1949)
Abd al-Jabiri,(1935—2010)
Abd al-Latif al-Baghdadi,(1162–1231)
Abdolkarim Soroush,(born 1945)
Abdullah Laroui,(born 1935)
Abdullah al-Qasemi,(1907–1996)
Abhinavagupta,(fl. c. 975–1025)
Abner of Burgos,(c. 1270 – c. 1347)
Abraham Cohen de Herrera,(1562–1635)
Abraham Joshua Heschel,(1907–1972)
Abraham Tucker,(1705–1774)
Abraham bar Hiyya Ha-Nasi,(1070–1136)
Abraham ben Moses Maimonides,(1186–1237)
Abraham ibn Ezra,(1092/3–1167)
Abu Bakr Muhammad ibn Zakariyya al-Razi,(865–925)
Abu Hayyan al-Tawhidi,(c. 930 – 1023)
Abu Sulayman Muhammad al-Sijistani,(c. 932 – c. 1000)
Abu'l Hasan Muhammad Ibn Yusuf al-'Amiri,(died 992)
Adam Ferguson,(1723–1816)
Adam Smith,(1723–1790)
Adam de Wodeham,(1298–1358)
Adam weishaupt,(1748-1830)
Adelard of Bath,(12th century)
Adi Shankara,(788–820)
Adolf Grunbaum,(1923–2018)
Adolf Reinach,(1883–1917)
Adolf von Harnack,(1851–1930)
Adolfo Sánchez Vázquez,(1915–2011)
Aenesidemus,(1st century BC)
Afrikan Spir,(1837–1890)
Agostino Nifo,(1470–1538)
Agrippa the Sceptic,(1st/2nd century)
Akos Pauler,(1876–1933)
Aksapada Gautama,(c. 2nd century BC)
Al-Farabi,(870–950)
Al-Ghazali,(1058–1111)
Al-Juwayni,(1028–1085)
Al-Kindi,(801–873)
Alain Badiou,(born 1937)
Alain Deneault,(born 1970)
Alain LeRoy Locke,(1885–1954)
Alan Gewirth,(1912–2004)
Alan R. White,(1922–1992)
Alan Ross Anderson,(1925–1973)
Alan Turing,(1912–1954)
Alan Watts,(1915–1973)
Alasdair MacIntyre,(born 1929)
Alastair Hannay,(born 1932)
Albert Camus,(1913–1960)
Albert Einstein,(1879–1955)
Albert Schweitzer,(1875–1965)
Albert Venn Dicey,(1835–1922)
Albert of Saxony,(c. 1316–1390)
Albertus Magnus,(1193?–1280)
Alcinous,(2nd century)
Alcmaeon of Croton,(5th century BC)
Alejandro Deustua,(1849–1945)
Alejandro Korn,(1860–1936)
Aleksei Aleksandrovich Kozlov,(1831–1901)
Aleksei Fedorovich Losev,(1893–1988)
Aleksei N. Leontiev,(1903–1979)
Aleksey Khomyakov,(1804–1860)
Alexander Bain,(1818–1903)
Alexander Bogdanov,(1873–1928)
Alexander Bryan Johnson,(1786–1867)
Alexander Crummell,(1819–1898)
Alexander Gerard,(1728–1795)
Alexander Gottlieb Baumgarten,(1714–1762)
Alexander Herzen,(1812–1870)
Alexander Neckham,(1157–1217)
Alexander Pfänder,(1870–1941)
Alexander Pope,(1688–1744)
Alexander of Aphrodisias,(2nd century)
Alexander of Hales,(died 1245)
Alexandre Kojève,(1902–1968)
Alexandre Koyre,(1892–1964)
Alexis de Tocqueville,(1805–1859)
Alexius Meinong,(1853–1920)
Alf Niels Christian Ross,(1899–1979)
Alfred Adler,(1870–1937)
Alfred Binet,(1857–1911)
Alfred Fouillée,(1838–1922)
Alfred Jules Ayer,(1910–1989)
Alfred Loisy,(1857–1940)
Alfred North Whitehead,(1861–1947)
Alfred Russel Wallace,(1823–1913)
Alfred Schütz,(1899–1959)
Alfred Tarski,(1901–1983)
Allama Tabatabai,(1903–1981)
Allan Gibbard,(born 1942)
Alonzo Church,(1903–1995)
Alvin Goldman,(born 1938)
Alvin Plantinga,(born 1932)
Alyaksandr Tsvikievich,(1888–1937)
Amadeo Bordiga,(1889–1970)
Amartya Sen,(born 1933)
